[MTECH][GRADING][SEM3] "Environmental Engineering (Grading System)"
[MTECH][GRADING][SEM3] "Artificial Intelligence and Machine Learning"
[MTECHPT][GRADING][SEM1] "Power System and Automation"
[MTECHPT][GRADING][SEM1] "Advanced Production Systems (Part Time)"
[MTECHPT][GRADING][SEM2] "Power System and Automation"
[MTECHPT][GRADING][SEM2] "Advanced Production Systems (Part Time)"
[MTECHPT][GRADING][SEM3] "Power System and Automation"
[MTECHPT][GRADING][SEM3] "Advanced Production Systems (Part Time)"
[MTECHPT][GRADING][SEM4] "Power System and Automation"
[MTECHPT][GRADING][SEM4] "Advanced Production Systems (Part Time)"
[MTECHPT][GRADING][SEM5] "Power System and Automation"
[MPHARM][GRADING][SEM1] "M.Pharm.I Sem. (Common for all branches)"
[MPHARM][GRADING][SEM2] "Pharma.Mgmt.Regulatory Affairs(PMRA)(Grading Sys)"
[MPHARM][GRADING][SEM2] "Drug Regulatory Affairs(DRA)-(Grading Sys)"
[MPHARM][GRADING][SEM2] "Pharmaceutical Chemistry (Grading Sys)"
[MPHARM][GRADING][SEM2] "Pharmaceutical Analysis (Grading Sys)"
[MPHARM][GRADING][SEM2] "Quality Assurance (Grading Sys)"
[MPHARM][GRADING][SEM2] "Pharmacognosy (Grading Sys)"
[MPHARM][GRADING][SEM2] "Syllabus for Industrial Pharmacy (IP)"
[MPHARM][GRADING][SEM2] "Syllabus for Pharmaceutical Technology"
[MPHARM][GRADING][SEM2] "Syllabus for Pharmaceutical Marketing"
[MPHARM][GRADING][SEM2] "Syllabus for Pharmacy Practice(PP)"
[MPHARM][GRADING][SEM3] "Industrial Pharmacy (Grading System)"
[MPHARM][GRADING][SEM3] "Pharmacy Practice (Grading System)"
[MPHARM][GRADING][SEM3] "Ph. Marketing (Grading System)"
[MPHARM][GRADING][SEM3] "Pharmaceutical Technology (Grading System)"
[MPHARM][NONGRADING][SEM3] "Quality Assurance (Grading Sys)"
[MPHARM][NONGRADING][SEM3] "Drug Regulatory Affairs(DRA)-(Grading Sys)"
[MPHARM][NONGRADING][SEM3] "Pharmacognosy (Grading Sys)"
[MPHARM][NONGRADING][SEM3] "Pharma.Mgmt.Regulatory Affairs(PMRA)(Grading Sys)"
[MPHARM][NONGRADING][SEM3] "Pharmaceutical Chemistry (Grading Sys)"
[MPHARM][NONGRADING][SEM3] "Pharmaceutical Analysis (Grading Sys)"
[MPLAN][GRADING][SEM1] "Syllabus M.Plan Urban and Regional Planning I Sem"
[MPLAN][GRADING][SEM2] "Syllabus M.Plan Urban and Regional Planning II Sem"
[MPLAN][GRADING][SEM3] "Syll M.Plan Urban and Regional Planning III Sem"
[MPLAN][GRADING][SEM4] "Syllabus M.Plan Urban and Regional Planning IV Sem"
[MPHARMPCI][GRADING][SEM1] "MPharm PCI Pharmaceutical Chemistry I Sem"
